# Min values: 183.7, 260.4, 197.3, 264.8, 241.0
# Max values: 325.8, 382.5, 285.0, 378.7, 439.8
# Starting CSV logging...
time_ms,raw0,raw1,raw2,raw3,raw4,gyroX_dps,gyroY_dps,gyroZ_dps,norm0,norm1,norm2,norm3,norm4,gestureID,Button
53,171,270,198,305,260,3.405,1.565,0.802,0.0000,0.0789,0.0075,0.3527,0.0954,0,0
100,171,270,198,304,260,5.611,0.473,-1.389,0.0000,0.0789,0.0075,0.3439,0.0954,0,0
153,171,271,198,304,260,8.916,2.328,-0.099,0.0000,0.0870,0.0075,0.3439,0.0954,0,0
201,171,271,198,304,260,2.374,-1.542,0.008,0.0000,0.0870,0.0075,0.3439,0.0954,0,0
254,171,271,198,304,260,6.664,2.023,-2.985,0.0000,0.0870,0.0075,0.3439,0.0954,0,0
301,171,271,198,304,260,-0.573,-1.794,-2.344,0.0000,0.0870,0.0075,0.3439,0.0954,0,0
350,172,271,198,304,260,10.962,2.351,-3.618,0.0000,0.0870,0.0075,0.3439,0.0954,0,0
401,171,271,198,304,260,0.183,2.260,-1.267,0.0000,0.0870,0.0075,0.3439,0.0954,0,0
450,171,271,198,304,260,11.130,4.061,-1.924,0.0000,0.0870,0.0075,0.3439,0.0954,0,0
502,171,270,198,304,260,0.794,8.519,2.107,0.0000,0.0789,0.0075,0.3439,0.0954,0,0
551,171,270,198,304,260,1.122,3.962,-1.397,0.0000,0.0789,0.0075,0.3439,0.0954,0,0
604,171,270,198,305,260,6.313,0.443,0.832,0.0000,0.0789,0.0075,0.3527,0.0954,0,0
651,171,270,198,304,259,3.115,1.176,0.466,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
704,171,270,198,304,259,3.458,5.389,0.206,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
751,171,270,198,304,259,4.237,2.947,-0.366,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
801,171,270,198,304,259,2.221,3.794,-0.008,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
852,171,270,198,304,259,5.992,5.748,-1.305,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
901,170,270,198,304,259,3.832,4.809,1.710,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
952,171,270,198,304,259,9.305,0.519,-1.160,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
1001,171,270,198,304,259,6.832,-2.977,-0.366,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
1053,171,270,198,304,259,10.679,-3.275,-0.710,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
1102,171,270,198,304,259,6.214,0.382,-1.084,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
1149,170,270,198,304,259,5.405,0.733,-1.321,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
1202,171,270,198,304,259,10.382,-0.038,-3.076,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
1249,171,270,198,304,259,3.427,-3.649,0.313,0.0000,0.0789,0.0075,0.3439,0.0904,0,0
1302,171,270,198,304,258,15.092,3.626,0.313,0.0000,0.0789,0.0075,0.3439,0.0853,0,0
1352,171,270,198,303,259,7.267,3.527,2.511,0.0000,0.0789,0.0075,0.3351,0.0904,0,0
1403,171,270,198,303,259,6.710,4.901,1.649,0.0000,0.0789,0.0075,0.3351,0.0904,0,0
