# Calibrating relaxed hand - keep hand relaxed and still...
# Relaxed calibration complete. Min: 273.5, 184.5, 206.5, 197.6, 193.0
# Calibrating fist - close fist and hold still...
# Fist calibration complete. Max: 452.8, 513.6, 454.8, 375.4, 360.9
# Switching to LOG mode. Starting CSV output...
time_ms,raw0,raw1,raw2,raw3,raw4,gyroX_dps,gyroY_dps,gyroZ_dps,norm0,norm1,norm2,norm3,norm4,gestureID,Button
23,237,193,216,192,200,4.695,1.542,-0.511,0.0000,0.0259,0.0382,0.0000,0.0417,0,0
42,238,195,215,193,198,10.656,-4.756,2.473,0.0000,0.0320,0.0341,0.0000,0.0297,0,0
63,238,195,216,193,198,22.534,-2.489,1.618,0.0000,0.0320,0.0382,0.0000,0.0297,0,0
80,238,194,217,192,199,32.206,-16.374,1.557,0.0000,0.0289,0.0422,0.0000,0.0357,0,0
100,239,194,222,192,199,22.389,4.878,3.458,0.0000,0.0289,0.0623,0.0000,0.0357,0,0
121,238,194,226,192,198,18.443,-1.046,-0.679,0.0000,0.0289,0.0784,0.0000,0.0297,0,0
141,237,194,229,193,199,17.092,-14.420,1.145,0.0000,0.0289,0.0905,0.0000,0.0357,0,0
162,236,193,229,192,199,12.221,-29.084,6.870,0.0000,0.0259,0.0905,0.0000,0.0357,0,0
182,236,194,227,193,200,6.794,-41.137,9.466,0.0000,0.0289,0.0825,0.0000,0.0417,0,0
203,237,196,224,192,199,1.389,-28.489,2.985,0.0000,0.0350,0.0704,0.0000,0.0357,0,0
220,236,197,224,191,199,4.336,-24.565,1.954,0.0000,0.0380,0.0704,0.0000,0.0357,0,0
241,237,198,224,191,199,18.824,-20.344,-0.244,0.0000,0.0411,0.0704,0.0000,0.0357,0,0
261,236,199,224,191,199,26.069,-25.992,-1.847,0.0000,0.0441,0.0704,0.0000,0.0357,0,0
282,237,200,224,191,199,24.023,-27.908,0.160,0.0000,0.0472,0.0704,0.0000,0.0357,0,0
302,237,202,226,192,200,18.092,-27.221,0.664,0.0000,0.0532,0.0784,0.0000,0.0417,0,0
323,237,202,226,191,200,15.130,-24.443,0.763,0.0000,0.0532,0.0784,0.0000,0.0417,0,0
343,237,204,227,191,199,15.061,-16.366,0.573,0.0000,0.0593,0.0825,0.0000,0.0357,0,0
361,239,204,228,192,198,13.115,-15.359,0.511,0.0000,0.0593,0.0865,0.0000,0.0297,0,0
381,238,205,228,192,200,15.992,-15.672,1.550,0.0000,0.0623,0.0865,0.0000,0.0417,0,0
401,237,206,228,193,200,18.573,-16.718,1.947,0.0000,0.0654,0.0865,0.0000,0.0417,0,0
422,239,206,228,192,201,18.237,-15.130,2.153,0.0000,0.0654,0.0865,0.0000,0.0476,0,0
442,240,205,228,191,200,16.305,-14.168,2.244,0.0000,0.0623,0.0865,0.0000,0.0417,0,0
463,241,205,227,192,200,13.344,-14.534,1.893,0.0000,0.0623,0.0825,0.0000,0.0417,0,0
483,243,204,226,192,200,12.099,-16.649,1.763,0.0000,0.0593,0.0784,0.0000,0.0417,0,0
500,244,205,226,193,200,10.847,-17.137,1.382,0.0000,0.0623,0.0784,0.0000,0.0417,0,0
520,246,204,227,193,200,13.954,-13.153,1.885,0.0000,0.0593,0.0825,0.0000,0.0417,0,0
541,247,204,227,191,199,19.405,-10.695,1.336,0.0000,0.0593,0.0825,0.0000,0.0357,0,0
561,246,204,226,192,199,16.893,-7.443,0.321,0.0000,0.0593,0.0784,0.0000,0.0357,0,0
582,248,205,227,191,200,11.023,-4.412,0.115,0.0000,0.0623,0.0825,0.0000,0.0417,0,0
602,247,204,227,193,202,8.260,-3.618,0.260,0.0000,0.0593,0.0825,0.0000,0.0536,0,0
623,246,205,227,192,200,12.603,-5.763,1.427,0.0000,0.0623,0.0825,0.0000,0.0417,0,0
640,247,205,228,192,199,17.252,-7.458,3.160,0.0000,0.0623,0.0865,0.0000,0.0357,0,0
661,245,206,227,192,200,15.588,-5.145,4.450,0.0000,0.0654,0.0825,0.0000,0.0417,0,0
681,245,207,227,191,199,15.527,-1.824,4.313,0.0000,0.0684,0.0825,0.0000,0.0357,0,0
701,244,209,229,190,201,18.496,-4.107,5.092,0.0000,0.0745,0.0905,0.0000,0.0476,0,0
722,246,209,228,191,200,20.198,-5.000,6.511,0.0000,0.0745,0.0865,0.0000,0.0417,0,0
742,247,209,229,192,201,18.336,-2.076,6.931,0.0000,0.0745,0.0905,0.0000,0.0476,0,0
763,245,211,229,191,200,17.313,-0.405,6.740,0.0000,0.0806,0.0905,0.0000,0.0417,0,0
780,245,211,231,191,200,18.878,-1.008,6.336,0.0000,0.0806,0.0986,0.0000,0.0417,0,0
801,243,211,232,191,200,19.366,-1.145,5.267,0.0000,0.0806,0.1026,0.0000,0.0417,0,0
821,244,214,233,191,201,16.450,-0.176,4.405,0.0000,0.0897,0.1066,0.0000,0.0476,0,0
842,245,216,234,191,200,14.260,-3.809,3.595,0.0000,0.0958,0.1107,0.0000,0.0417,0,0
862,246,219,235,191,201,16.908,-7.542,1.832,0.0000,0.1049,0.1147,0.0000,0.0476,0,0
883,246,222,239,191,201,20.023,-8.733,-0.069,0.0000,0.1140,0.1308,0.0000,0.0476,0,0
903,246,225,241,191,202,15.260,-1.382,0.435,0.0000,0.1231,0.1389,0.0000,0.0536,0,0
921,244,229,241,191,202,12.489,3.099,1.061,0.0000,0.1353,0.1389,0.0000,0.0536,0,0
941,245,230,242,191,202,11.824,3.527,1.107,0.0000,0.1383,0.1429,0.0000,0.0536,0,0
