gestureTarget,s0,s1,s2,s3,s4,s5,yaw,pitch,roll,timestamp_ms,gestureDetected,active
1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,56919,7,0
1,0.0,1.1,0.0,0.0,0.0,100.0,-0.0,0.0,0.2,56983,7,0
1,0.0,6.7,4.4,1.9,2.0,100.0,-0.0,0.01,0.25,57043,7,0
1,2.5,8.7,7.6,5.8,8.9,86.4,-0.01,0.02,0.28,57104,7,0
1,5.0,9.7,8.7,7.2,11.8,75.1,-0.01,0.03,0.29,57163,0,0
1,6.7,10.2,9.3,8.1,13.2,68.5,-0.01,0.04,0.28,57224,0,0
1,7.7,10.5,9.6,8.5,14.1,65.1,-0.02,0.05,0.28,57284,0,0
1,8.4,10.6,9.8,8.8,14.6,62.1,-0.02,0.05,0.27,57344,0,0
1,8.9,10.8,10.0,9.1,14.8,59.9,-0.03,0.05,0.26,57404,0,0
1,9.3,10.9,10.1,9.2,15.0,58.2,-0.04,0.06,0.25,57463,0,0
1,9.4,11.0,10.1,9.3,15.1,57.0,-0.04,0.06,0.24,57524,0,0
1,9.7,11.0,10.2,9.4,15.3,55.9,-0.05,0.07,0.24,57584,0,0
1,9.9,11.1,10.2,9.5,15.4,55.1,-0.06,0.07,0.23,57644,0,0
1,10.0,11.1,10.3,9.6,15.5,54.4,-0.06,0.07,0.23,57704,0,0
1,10.2,11.2,10.3,9.7,15.7,53.9,-0.07,0.07,0.22,57764,0,0
1,10.4,11.3,10.4,9.7,15.7,53.4,-0.08,0.08,0.21,57824,0,0
1,10.4,11.3,10.4,9.7,15.8,53.0,-0.09,0.08,0.2,57884,0,0
1,10.5,11.4,10.4,9.7,15.9,52.3,-0.09,0.08,0.19,57944,0,0
1,10.6,11.5,10.4,9.7,15.9,52.3,-0.1,0.08,0.18,58004,0,0
1,10.7,11.5,10.4,9.8,16.0,52.0,-0.11,0.08,0.17,58064,0,0
1,10.7,11.5,10.5,9.8,16.0,52.0,-0.12,0.08,0.16,58124,0,0
1,10.8,11.6,10.5,9.8,16.0,52.0,-0.13,0.08,0.14,58184,0,0
1,10.8,11.6,10.5,9.8,16.0,52.0,-0.14,0.08,0.13,58245,0,0
1,10.8,11.6,10.5,9.8,15.9,52.0,-0.15,0.09,0.12,58304,0,0
1,10.8,11.6,10.5,9.9,16.0,51.6,-0.16,0.09,0.11,58364,0,0
1,10.9,11.6,10.6,9.9,16.1,51.2,-0.17,0.09,0.1,58425,0,0
1,10.9,11.6,10.6,9.9,16.1,51.3,-0.19,0.09,0.09,58484,0,0
1,10.9,11.7,10.6,9.9,16.1,51.5,-0.2,0.09,0.07,58545,0,0
1,10.9,11.7,10.6,10.0,16.1,51.3,-0.21,0.09,0.06,58604,0,0
1,11.0,11.7,10.6,10.0,16.2,51.2,-0.22,0.09,0.06,58664,0,0
1,11.0,11.7,10.6,10.0,16.2,50.9,-0.23,0.09,0.05,58725,0,0
1,11.0,11.7,10.6,10.0,16.2,50.9,-0.24,0.09,0.04,58784,0,0
1,11.0,11.7,10.6,10.0,16.2,50.8,-0.25,0.09,0.03,58845,0,0
1,11.0,11.7,10.6,10.0,16.2,50.7,-0.26,0.1,0.03,58905,0,0
1,11.1,11.7,10.7,10.0,16.2,50.6,-0.27,0.1,0.02,58964,0,0
1,11.1,11.8,10.7,10.0,16.2,50.7,-0.28,0.1,0.02,59025,0,0
1,11.1,11.8,10.7,10.0,16.2,50.6,-0.28,0.1,0.01,59085,0,0
1,11.1,11.8,10.7,10.0,16.2,50.5,-0.29,0.1,0.01,59145,0,0
1,11.1,11.8,10.7,10.0,16.2,50.9,-0.3,0.1,0.0,59205,0,0
1,11.2,11.8,10.7,10.0,16.2,51.0,-0.31,0.1,-0.0,59266,0,0
1,11.2,11.8,10.7,10.0,16.3,51.1,-0.32,0.1,-0.0,59325,0,0
1,11.2,11.8,10.7,10.1,16.2,50.9,-0.32,0.1,-0.01,59385,0,0
1,11.2,11.9,10.7,10.0,16.2,50.9,-0.33,0.1,-0.01,59445,0,0
1,11.2,11.9,10.7,10.0,16.3,51.0,-0.34,0.1,-0.02,59505,0,0
1,11.2,11.9,10.7,10.0,16.3,50.7,-0.34,0.1,-0.02,59566,0,0
1,11.2,11.9,10.7,10.0,16.3,50.6,-0.35,0.1,-0.02,59625,0,0
1,11.2,12.0,10.7,10.0,16.3,50.5,-0.36,0.1,-0.02,59685,0,0
1,11.2,12.1,10.8,10.1,16.3,50.4,-0.37,0.1,-0.03,59746,0,0
1,11.2,12.2,10.8,10.1,16.3,50.4,-0.38,0.1,-0.03,59805,0,0
1,11.2,12.3,10.9,10.1,16.3,50.1,-0.39,0.09,-0.02,59866,0,0
1,11.2,12.5,11.0,10.1,16.3,50.3,-0.4,0.08,-0.02,59925,0,0
1,11.3,12.7,11.1,10.1,16.3,50.3,-0.41,0.07,-0.02,59985,0,0
1,11.3,13.1,11.2,10.1,16.3,50.2,-0.42,0.06,-0.01,60046,0,0
1,11.3,13.4,11.3,10.1,16.3,50.2,-0.43,0.05,-0.0,60106,0,0
1,11.4,13.8,11.5,10.1,16.3,50.2,-0.43,0.04,0.01,60166,0,0
1,11.4,14.2,11.6,10.1,16.4,50.3,-0.44,0.02,0.02,60226,0,0
1,11.4,14.5,11.8,10.1,16.3,50.2,-0.44,0.01,0.03,60285,0,0
1,11.4,14.9,11.9,10.1,16.4,50.2,-0.45,0.0,0.04,60346,0,0
1,11.5,15.3,12.1,10.1,16.4,50.2,-0.45,-0.01,0.05,60406,0,1
1,11.5,15.7,12.3,10.2,16.4,50.2,-0.44,-0.02,0.06,60466,0,1
1,11.6,16.4,12.6,10.2,16.4,50.1,-0.43,-0.04,0.07,60526,0,1
